UnfallID;UJAHR;UMONAT;Jahr-Monat;UWOCHENTAG;USTUNDE;UKATEGORIE;UART;UTYP1;ULICHTVERH;STRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
8,20E+18;2020;2;2020-02;3;21;3;5;3;2;1;1;1;0;0;0;0;511065,186;5280799,521;9,147427839;47,68048988
8,20E+18;2020;2;2020-02;6;1;3;0;1;2;1;1;0;0;0;0;0;513317,694;5278708,447;9,177375399;47,66163262
8,20E+18;2020;3;2020-03;4;7;3;5;3;0;0;1;0;0;0;0;0;512995,6733;5279263,092;9,173102995;47,66662968
8,20E+18;2020;3;2020-03;6;7;3;5;3;1;0;1;0;0;0;0;0;512805,959;5280810,426;9,17062138;47,68055586
8,20E+18;2020;3;2020-03;7;14;3;5;2;0;0;1;1;0;0;0;0;511328,7251;5280668,047;9,150935697;47,67930236
8,20E+18;2020;3;2020-03;5;9;3;9;1;0;0;1;0;0;0;0;0;513010,341;5279362,719;9,173301336;47,6675258
8,20E+18;2020;3;2020-03;5;17;3;5;7;0;0;1;1;0;0;0;0;511934,0488;5280382,884;9,158992764;47,67672567
8,20E+18;2020;3;2020-03;4;21;3;0;7;2;0;1;0;0;0;0;0;511579,6527;5280950,907;9,154286365;47,68184299
8,20E+18;2020;4;2020-04;5;21;3;1;1;2;0;0;1;0;1;0;0;510982,8002;5280665,062;9,146326786;47,67928147
8,20E+18;2020;4;2020-04;4;8;3;0;3;0;0;0;1;0;1;0;0;511029,6591;5281279,813;9,146966632;47,68481199
8,20E+18;2020;4;2020-04;3;23;3;0;1;2;0;0;1;0;0;0;0;513354,1707;5279138,815;9,177874375;47,66550418
8,20E+18;2020;4;2020-04;3;11;3;5;2;0;0;1;1;0;0;0;0;511062,4274;5280788,015;9,147390793;47,6803864
8,20E+18;2020;4;2020-04;4;18;2;0;1;0;0;1;0;0;0;0;0;512778,7407;5280980,678;9,17026372;47,68208827
8,20E+18;2020;4;2020-04;4;21;3;8;1;2;1;1;0;0;0;0;0;513520,3612;5279266,492;9,180091934;47,66664953
8,20E+18;2020;4;2020-04;4;10;3;5;3;0;0;1;0;0;1;0;0;513607,8316;5280942,991;9,181309283;47,68173225
8,20E+18;2020;4;2020-04;6;20;3;3;6;1;0;1;0;0;0;0;0;514155,519;5280062,721;9,188578029;47,67380013
8,20E+18;2020;4;2020-04;3;14;3;0;1;0;0;1;0;0;0;0;0;513050,2785;5278318,189;9,173802114;47,65812666
8,20E+18;2020;4;2020-04;5;18;3;0;7;0;0;1;0;0;0;0;0;513387,1127;5278452,792;9,178292134;47,65933088
8,20E+18;2020;4;2020-04;1;14;3;8;1;0;0;1;0;0;0;0;0;512718,5154;5278535,772;9,169390083;47,66009101
8,20E+18;2020;5;2020-05;2;12;3;5;3;0;0;1;1;0;0;0;0;512513,203;5278771,738;9,166662423;47,66221816
8,20E+18;2020;5;2020-05;7;16;3;5;3;0;0;0;1;0;0;0;0;511134,2735;5281519,654;9,1483667;47,68696821
8,20E+18;2020;5;2020-05;1;16;3;0;7;0;0;1;0;0;0;0;0;512865,3703;5278884,508;9,171356212;47,66322592
8,20E+18;2020;5;2020-05;2;18;3;5;3;0;1;1;1;0;0;0;0;513045,7335;5279078,716;9,17376429;47,66496972
8,20E+18;2020;5;2020-05;1;13;3;8;1;0;0;1;0;0;0;0;0;511265,455;5282151,65;9,150131035;47,69265241
8,20E+18;2020;5;2020-05;1;1;3;1;1;2;0;0;1;0;0;0;0;512454,2643;5280138,297;9,16591639;47,67451515
8,20E+18;2020;5;2020-05;7;0;2;2;6;2;0;0;1;0;1;0;0;513518,236;5279722,793;9,180077748;47,67075521
8,20E+18;2020;5;2020-05;5;9;3;0;7;0;0;1;0;0;0;0;0;512495,2865;5279553,673;9,166446161;47,6692541
8,20E+18;2020;5;2020-05;5;11;3;4;6;0;0;0;1;0;0;0;0;514125,5021;5280703,506;9,188198881;47,67956635
8,20E+18;2020;5;2020-05;6;15;3;0;3;0;0;1;1;0;0;0;0;512672,7854;5284510,422;9,168954551;47,71384966
8,20E+18;2020;5;2020-05;6;9;3;5;3;0;0;1;1;0;0;0;0;511065,0642;5280800,758;9,147426247;47,68050102
8,20E+18;2020;5;2020-05;3;23;2;0;1;2;0;1;0;0;0;0;0;513537,6167;5279416,261;9,180326418;47,66799674
8,20E+18;2020;5;2020-05;2;18;3;3;6;0;0;1;0;0;0;0;0;512886,7538;5279427,958;9,171657053;47,66811528
8,20E+18;2020;5;2020-05;7;13;3;2;6;0;0;0;1;0;0;0;0;511224,4236;5280717,873;9,149547346;47,6797525
